Precinct and Voting District Information,,,,,,,,,,,,,,,,,,1 (County Statistics),,,,,,Voting System Information,,,US Senate,,,,,,,US Congressional Districts 1 - 8,,,,,,MN State Senate Districts 1 - 67,,,,,,,MN State House Districts 1A - 67B,,,,,,,Governor and Lieutenant Governor,,,,,,,,Secretary of State,,,,,Attorney General,,,,State Auditor,,,,,ASSOCIATE JUSTICE-SUPREME CT 3,,,APPEALS 1,,APPEALS 5,,APPEALS 8,,APPEALS 9,,APPEALS 10,,APPEALS 15,,APPEALS 16,,,1ST DISTRICT COURT 1,,,1ST DISTRICT COURT 5,,,1ST DISTRICT COURT 28,,,1ST DISTRICT COURT 31,,,2ND DISTRICT COURT 21,,,4TH DISTRICT COURT 12,,,4TH DISTRICT COURT 46,,,4TH DISTRICT COURT 47,,,4TH DISTRICT COURT 53,,,4TH DISTRICT COURT 56,,,4TH DISTRICT COURT 58,,,4TH DISTRICT COURT 60,,,7TH DISTRICT COURT 17,,,9TH DISTRICT COURT 4,,,9TH DISTRICT COURT 12,,,10TH DISTRICT COURT 14,,
270750120,UNORG TERR NO2 PREC 2,,08,06A,04,00,381,00,00,N,O,36 Two Harbors Unorganized,06,036,0120,38,270750120,427,27,318,24,0,342,1,Central Count,Model 115,0,8,131,4,180,0,0,0,0,98,239,0,0,0,99,0,223,0,0,0,0,61,97,176,0,0,1,7,43,119,166,0,1,0,0,12,24,124,174,1,17,104,215,0,15,27,111,175,1,208,68,0,243,1,243,0,237,0,237,0,237,0,238,0,81,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270750125,UNORG TERR NO2 PREC 3,,08,06A,05,00,381,00,00,N,O,36 Two Harbors Unorganized,06,036,0125,38,270750125,695,23,546,18,0,564,1,Central Count,Model 115,2,13,193,4,351,0,0,0,0,105,446,0,0,0,107,0,434,0,0,0,0,82,124,342,0,0,2,17,52,162,325,0,1,0,0,24,29,163,338,0,15,141,391,0,27,42,143,329,0,362,125,2,443,2,445,1,440,2,441,2,440,2,439,2,133,336,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270750130,UNORG TERR NO2 PREC 4,,08,06A,02,00,381,00,00,N,O,36 Two Harbors Unorganized,06,036,0130,38,270750130,80,1,69,0,0,69,1,Central Count,Model 115,0,7,41,3,18,0,0,0,0,33,32,0,2,0,27,0,36,0,0,0,0,16,23,26,0,0,1,0,13,28,23,0,1,1,0,3,11,31,22,0,9,30,27,0,4,13,31,20,0,40,16,0,47,1,47,1,47,1,46,1,46,1,46,1,20,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270770005,0005 - 1-A Baudette Unorg,,07,03A,01,00,390,00,00,N,O,Rainy River Unorganized,09,021,0005,39,270770005,186,9,165,9,0,174,1,Central Count,Optech IIIP Eagle,1,4,89,13,59,0,2,0,0,55,114,0,0,0,0,89,76,0,0,0,0,0,0,124,0,0,1,1,17,67,83,0,0,1,0,3,5,78,80,0,5,77,82,1,0,12,78,71,0,104,27,0,120,0,118,1,117,1,116,0,114,1,114,2,43,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,39,1,88,41,1,0,0,0
270770010,0010 - 1-B Baudette City,,07,03A,01,00,390,00,00,N,O,Baudette city,09,005,0010,39,270770010,349,28,270,40,0,310,2,Precinct Tabulator,Optech IIIP Eagle,1,9,129,5,162,1,0,0,0,71,224,0,2,0,0,122,163,0,0,1,0,0,0,238,0,0,2,4,33,92,159,2,5,1,0,6,12,108,165,1,18,107,169,2,10,21,107,154,0,180,55,0,206,1,201,1,200,1,200,1,203,1,199,1,76,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,78,1,153,67,1,0,0,0
270770015,0015 - 2-A Gudrid Unorg,,07,03A,02,00,390,00,00,N,O,Rainy River Unorganized,09,021,0015,39,270770015,138,3,122,3,0,125,1,Central Count,Optech IIIP Eagle,1,7,61,10,39,0,0,0,0,37,80,0,1,0,0,54,60,0,0,1,0,0,0,91,0,0,0,2,12,53,46,0,0,1,0,2,9,57,49,0,6,47,59,0,2,11,51,49,0,59,25,0,78,0,77,0,76,0,76,0,77,0,76,0,31,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,30,0,46,37,0,0,0,0
270770020,0020 - 2-B Baudette City,,07,03A,02,00,390,00,00,N,O,Baudette city,09,005,0020,39,270770020,256,11,207,17,0,224,2,Precinct Tabulator,Optech IIIP Eagle,0,8,111,5,97,0,0,0,0,67,147,0,0,0,0,105,100,0,0,0,0,0,0,168,0,0,1,2,24,99,92,0,2,0,0,1,15,97,103,0,15,85,104,2,6,20,92,90,0,121,36,0,138,1,137,0,138,0,135,0,135,0,137,0,46,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,53,0,102,50,1,0,0,0
270770030,0030 - 3-A Unorg,,07,03A,03,00,390,00,00,N,O,Beltrami Forest Unorganized,09,011,0030,39,270770030,264,9,236,9,0,245,1,Central Count,Optech IIIP Eagle,3,7,120,16,82,0,0,0,0,53,173,0,0,0,0,113,109,0,0,0,0,0,0,180,0,0,0,3,24,91,105,0,7,1,0,3,12,107,107,0,12,88,118,0,4,16,87,110,0,114,50,0,156,0,153,0,154,0,154,0,151,0,154,0,63,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,51,0,103,67,0,0,0,0
270770031,0031 - 3-C S McDougald Unorg,,07,03A,03,00,390,00,00,N,O,Beltrami Forest Unorganized,09,011,0031,39,270770031,52,5,43,5,0,48,1,Central Count,Optech IIIP Eagle,1,5,20,4,16,1,1,0,0,13,32,0,0,0,0,21,22,0,0,0,0,0,0,30,0,0,0,1,6,15,23,0,0,0,0,2,5,18,20,0,6,13,23,0,1,5,19,19,0,19,7,0,20,0,20,0,20,0,20,0,20,0,19,0,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,9,19,0,0,0,0
270770035,0035 - 3-D Forest Unorg,,07,03A,03,00,390,00,00,N,O,Beltrami Forest Unorganized,09,011,0035,39,270770035,73,2,58,2,0,60,1,Central Count,Optech IIIP Eagle,0,4,39,5,10,1,0,0,0,20,39,0,0,0,0,34,22,0,0,0,0,0,0,39,0,0,2,1,4,33,17,0,2,0,0,2,6,30,14,0,6,35,12,0,3,5,31,13,0,24,18,0,34,1,33,1,33,1,33,1,33,1,33,1,19,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,10,0,24,19,0,0,0,0
270770040,0040 - 4-A Wheeler Unorg,,07,03A,04,00,390,00,00,N,O,Rainy River Unorganized,09,021,0040,39,270770040,216,8,182,8,0,190,1,Central Count,Optech IIIP Eagle,1,8,114,18,48,0,0,0,0,55,127,0,0,0,0,97,84,0,0,0,0,0,0,139,0,0,6,1,21,98,62,0,1,0,1,2,7,98,76,0,8,90,85,1,1,12,97,73,0,88,47,0,114,0,114,1,114,0,115,0,115,0,115,0,52,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,48,0,81,49,0,0,0,0
270770044,0044 - 4-B Wabanica Unorg,,07,03A,04,00,390,00,00,N,O,Rainy River Unorganized,09,021,0044,39,270770044,188,6,164,6,0,170,1,Central Count,Optech IIIP Eagle,1,6,83,20,54,0,2,0,0,46,119,0,0,0,0,74,82,0,0,1,0,0,0,123,0,0,5,2,20,61,81,0,0,0,0,1,10,79,73,0,11,66,78,0,0,14,64,76,0,96,28,0,113,0,113,0,113,0,114,0,112,0,112,0,46,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,46,0,91,27,0,0,0,0
270770045,0045 - 5-B Zipple Unorg,,07,03A,05,00,390,00,00,N,O,Rainy River Unorganized,09,021,0045,39,270770045,70,3,62,3,0,65,1,Central Count,Optech IIIP Eagle,0,2,38,5,18,0,0,0,0,23,42,0,0,0,0,35,26,0,0,0,0,0,0,44,0,0,0,0,15,30,18,0,0,0,1,1,9,35,19,0,4,29,29,0,1,9,33,20,0,34,19,0,41,0,41,0,39,0,39,0,38,0,38,0,26,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,16,0,29,24,0,0,0,0
270770046,0046 - 4-C N McDougald Unorg,,07,03A,04,00,390,00,00,N,O,Rainy River Unorganized,09,021,0046,39,270770046,66,12,50,12,0,62,1,Central Count,Optech IIIP Eagle,0,2,42,5,11,0,0,0,0,26,32,0,0,0,0,42,17,0,0,0,0,0,0,44,0,0,1,2,2,38,17,0,0,1,0,1,2,40,17,0,4,34,20,0,1,3,41,14,0,37,8,0,44,0,44,0,43,0,43,0,40,0,43,0,21,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,17,0,27,17,0,0,0,0
270770050,0050 - 5-A Unorg,,07,03A,05,00,390,00,00,N,O,Beltrami Forest Unorganized,09,011,0050,39,270770050,357,14,289,14,0,303,1,Central Count,Optech IIIP Eagle,3,19,166,25,86,1,0,0,0,81,216,0,0,0,0,145,145,0,0,0,0,0,0,246,0,0,4,3,46,118,123,2,2,1,0,0,26,142,127,0,28,126,135,0,7,29,132,119,0,167,74,1,213,4,216,4,215,4,214,5,214,5,215,4,96,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,96,1,162,78,2,0,0,0
270770055,0055 - 3-B Williams City,,07,03A,03,00,390,00,00,N,O,Williams city,09,030,0055,39,270770055,94,10,75,10,0,85,1,Central Count,Optech IIIP Eagle,1,8,25,13,33,0,0,0,0,15,65,0,1,0,0,26,55,0,0,0,0,0,0,68,0,0,0,0,8,28,41,1,2,0,0,1,8,27,43,0,7,22,53,0,0,8,26,47,0,50,17,0,55,1,54,1,53,1,54,1,55,1,53,2,24,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,17,1,40,22,0,0,0,0
270770065,0065 - 2-C Unorg,,07,03A,02,00,390,00,00,N,O,Beltrami Forest Unorganized,09,011,0065,39,270770065,87,6,81,6,0,87,1,Central Count,Optech IIIP Eagle,1,6,30,11,33,0,0,0,0,9,75,0,0,0,0,22,59,0,0,1,0,0,0,73,0,0,0,1,7,25,50,0,0,0,0,1,4,26,53,0,6,24,51,0,1,5,20,54,0,40,23,0,56,0,56,0,55,0,55,0,55,0,55,0,16,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,18,0,36,26,0,0,0,0
270770070,0070 - 5-C NW Angle,,07,03A,05,00,690,00,00,N,O,Northwest Angle Unorganized,09,016,0070,39,270770070,100,1,85,1,0,86,1,Central Count,Optech IIIP Eagle,1,5,58,15,6,0,0,0,0,33,51,0,0,0,0,52,23,0,0,0,0,0,0,50,0,0,0,3,15,40,27,0,0,0,0,1,6,48,25,0,9,42,31,0,1,8,42,27,0,39,26,0,51,1,51,0,50,0,49,0,47,0,49,0,23,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,17,0,42,23,0,0,0,0
270790005,CLEVELAND,,02,25A,05,00,391,00,00,N,O,Cleveland city,01,004,0005,40,270790005,390,38,295,5,0,300,1,Central Count,Model 115,3,9,135,1,150,0,0,0,0,117,153,20,0,0,0,126,163,0,0,0,0,37,129,128,0,0,0,5,83,122,83,0,1,1,0,6,14,118,152,0,13,108,170,0,10,27,106,142,0,136,88,1,214,1,211,1,211,1,217,2,219,2,216,3,56,172,1,120,102,0,139,83,0,140,86,2,64,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270790010,CLEVELAND TWP.,,02,25A,05,00,391,00,00,N,O,Cleveland township,01,005,0010,40,270790010,431,42,355,8,0,363,1,Central Count,Model 115,1,15,181,6,159,0,0,0,0,149,174,27,1,0,0,161,190,0,0,1,0,57,137,159,0,0,1,8,140,135,77,0,1,0,0,12,31,151,163,0,17,128,202,2,5,42,147,155,1,162,104,1,247,2,253,1,246,1,261,2,260,2,263,1,75,202,1,125,143,0,171,92,1,160,102,0,66,201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270790015,CORDOVA TWP.,,02,25A,02,00,2143,00,00,N,O,Cordova township,01,015,0015,40,270790015,289,30,227,10,0,237,1,Central Count,Model 115,0,4,103,2,127,0,0,0,0,96,114,15,0,0,0,115,116,0,0,0,0,36,90,103,0,0,0,1,96,85,47,0,0,0,0,0,12,104,109,0,9,83,136,1,2,20,78,122,0,135,60,0,176,0,174,0,172,1,179,0,178,1,179,0,77,110,1,98,95,0,140,48,1,133,59,0,86,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270790020,DERRYNANE TWP.,,02,25A,02,00,392,00,00,N,O,Derrynane township,01,020,0020,40,270790020,311,25,264,4,0,268,1,Central Count,Model 115,0,5,146,2,114,0,0,0,0,128,113,20,1,0,0,150,112,0,0,0,0,44,117,104,0,0,0,2,80,132,50,0,0,0,0,0,18,120,123,0,9,111,137,2,4,23,116,115,0,128,76,1,185,3,182,1,183,1,182,2,181,2,182,1,66,130,0,87,109,1,117,80,0,95,94,1,60,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270790025,ELYSIAN,,01,25A,04,00,2143,00,00,N,O,Elysian city (part),01,024,0025,40,270790025,305,65,286,12,0,298,1,Central Count,Model 115,7,9,134,0,140,3,0,13,0,179,95,0,0,0,0,159,123,0,0,0,0,33,142,111,0,0,0,8,131,93,54,2,2,1,0,9,25,125,124,0,23,112,147,1,16,35,117,110,0,122,106,0,206,2,205,2,200,2,210,2,213,2,212,2,84,151,1,109,122,1,132,95,1,107,117,0,80,148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270790030,ELYSIAN TWP. - P1,,01,25A,04,00,2143,00,00,N,O,Elysian township,01,025,0030,40,270790030,72,6,51,0,0,51,1,Central Count,Model 115,1,1,28,0,20,0,0,2,0,30,15,0,0,0,0,35,15,0,0,0,0,7,22,19,0,0,0,2,25,17,5,0,0,0,0,0,5,25,18,0,5,18,24,0,1,6,22,17,0,23,16,0,39,0,38,0,37,0,38,0,37,0,37,0,23,16,0,23,16,0,22,18,0,28,14,0,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270790032,ELYSIAN TWP. - P2,,02,25A,04,00,2143,00,00,N,O,Elysian township,01,025,0032,40,270790032,536,64,478,32,0,510,1,Central Count,Model 115,2,14,295,7,184,0,0,0,0,282,194,28,0,0,0,313,188,0,0,0,0,53,280,166,0,0,0,8,193,222,84,0,0,1,0,8,24,270,193,1,25,233,241,0,11,53,250,178,1,244,152,1,365,3,367,2,365,2,376,1,374,1,373,2,170,232,1,225,171,1,258,128,0,269,124,2,181,213,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270790035,HEIDELBERG,,02,25A,01,00,394,00,00,N,O,Heidelberg city,01,035,0035,40,270790035,73,13,73,0,0,73,1,Central Count,Model 115,0,1,37,0,35,0,0,0,0,26,42,3,0,0,0,30,39,0,0,0,0,8,35,27,0,0,0,1,29,28,15,0,0,0,0,1,4,32,31,0,2,24,45,0,4,5,24,36,0,37,20,0,53,0,53,0,53,0,53,0,53,0,53,0,20,36,0,26,26,0,40,18,0,36,20,0,14,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270790040,KASOTA,,02,25A,05,00,508,00,00,N,O,Kasota city,01,039,0040,40,270790040,370,46,292,9,0,301,1,Central Count,Model 115,2,9,126,0,156,2,1,0,0,110,165,20,1,0,0,120,171,0,0,1,0,42,118,134,0,0,0,9,80,112,91,1,2,0,0,11,22,109,149,0,18,99,171,3,15,26,109,140,2,167,91,1,242,2,239,1,241,1,239,1,242,1,242,1,100,152,1,133,119,2,158,90,2,181,71,2,118,130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270790045,KASOTA TWP.,,02,25A,05,00,077,00,00,N,O,Kasota township,01,040,0045,40,270790045,927,99,764,22,0,786,1,Central Count,Model 115,5,18,374,0,381,1,0,0,0,343,388,43,0,0,0,376,378,0,0,0,0,90,330,343,0,0,0,13,245,305,217,0,0,1,0,17,52,350,347,0,36,311,415,3,17,81,332,329,1,395,211,1,556,2,556,1,551,1,546,1,546,2,549,0,162,433,1,278,292,2,378,192,1,351,231,0,168,413,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270790050,KILKENNY,,02,25A,04,00,2143,00,00,N,O,Kilkenny city,01,049,0050,40,270790050,104,7,72,3,0,75,1,Central Count,Model 115,0,7,25,0,41,1,0,0,0,27,36,5,0,0,0,26,48,0,0,0,0,15,23,30,0,0,0,0,22,30,21,0,2,0,0,2,4,23,43,0,4,26,40,0,2,10,23,34,0,29,25,0,46,0,47,0,47,0,51,0,52,0,51,0,26,30,0,26,29,0,27,26,0,27,30,0,24,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270790055,KILKENNY TWP.,,02,25A,04,00,2143,00,00,N,O,Kilkenny township,01,050,0055,40,270790055,234,23,198,3,0,201,1,Central Count,Model 115,1,6,117,0,75,0,0,0,0,102,73,17,0,0,0,94,103,0,0,0,0,29,101,64,0,0,0,5,72,90,32,0,0,0,0,5,13,97,80,0,12,73,108,1,7,21,82,80,0,99,67,0,150,0,150,0,148,1,153,0,154,0,151,1,81,81,0,85,80,0,95,71,0,100,63,0,79,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270790062,LANESBURGH TWP.,,02,25A,01,00,394,00,00,N,O,Lanesburgh township,01,060,0062,40,270790062,1107,122,955,18,0,973,1,Central Count,Model 115,6,29,573,1,352,3,0,0,0,495,383,63,0,0,0,516,433,0,0,1,0,102,564,288,0,0,2,22,187,524,230,1,1,0,0,17,53,482,387,0,41,406,481,2,31,81,423,384,1,487,301,1,724,6,725,3,723,3,730,4,730,3,728,5,267,514,0,385,385,0,457,306,0,408,362,0,244,540,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270790065,LE CENTER W-1,1,02,25A,02,00,392,00,00,N,O,Le Center city,01,065,0065,40,270790065,698,84,512,36,0,548,1,Central Count,Model 115,1,15,304,6,216,0,0,0,0,260,238,26,1,0,0,291,240,0,0,0,0,68,247,222,0,0,0,5,184,234,111,0,2,0,0,6,28,258,236,0,28,235,261,4,8,55,249,211,0,318,106,1,397,2,396,3,393,2,405,2,403,2,402,2,170,256,2,200,226,1,300,124,1,321,111,0,165,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270790070,LE CENTER W-2,2,02,25A,02,00,392,00,00,N,O,Le Center city,01,065,0070,40,270790070,508,64,350,20,0,370,1,Central Count,Model 115,1,15,202,3,148,0,1,0,0,163,156,35,0,0,0,166,190,0,0,0,0,40,175,143,0,0,0,4,129,149,75,0,1,5,0,8,22,158,168,0,21,137,191,1,7,40,152,147,0,163,111,0,249,1,250,0,245,0,249,0,252,1,255,0,93,181,1,138,140,0,155,124,0,147,128,1,108,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270790075,LE SUEUR W-1,1,02,25A,03,00,2397,00,00,N,O,Le Sueur city (part),01,070,0075,40,270790075,1214,126,907,50,0,957,1,Central Count,Model 115,4,19,502,4,426,1,0,0,0,471,398,50,0,0,0,510,413,0,0,1,0,101,424,409,0,0,1,11,241,445,241,0,4,2,0,13,51,483,372,1,30,411,474,6,17,81,422,396,0,583,176,0,708,1,702,1,695,1,726,0,723,0,721,0,317,444,2,430,323,0,557,194,0,553,201,0,306,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270790080,LE SUEUR W-2,2,02,25A,03,00,2397,00,00,N,O,Le Sueur city (part),01,070,0080,40,270790080,909,125,640,16,0,656,1,Central Count,Model 115,7,28,306,3,307,0,0,0,0,291,289,44,0,0,0,297,324,0,0,0,0,86,266,280,0,0,0,13,182,263,183,1,2,0,0,18,44,273,291,1,38,235,336,4,18,59,254,275,1,308,151,2,431,2,434,2,429,2,446,1,448,1,450,2,155,326,2,250,221,1,294,180,2,282,190,2,148,324,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270790085,LEXINGTON TWP.,,02,25A,02,00,392,00,00,N,O,Lexington township,01,075,0085,40,270790085,440,40,347,7,0,354,1,Central Count,Model 115,2,10,189,0,151,0,1,0,0,166,152,25,0,0,0,174,175,0,0,0,0,47,162,136,0,0,0,2,127,139,75,1,1,0,0,4,20,163,158,0,18,144,180,1,8,28,144,158,0,140,98,0,209,1,207,1,207,1,211,1,209,2,213,0,84,148,1,103,125,0,120,119,0,128,108,0,67,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270790090,MONTGOMERY W-1,1,02,25A,01,00,394,00,00,N,O,Montgomery city,01,080,0090,40,270790090,622,69,466,10,0,476,1,Central Count,Model 115,2,12,210,2,243,0,1,0,0,196,233,27,0,0,0,174,295,0,0,0,0,59,189,214,0,0,0,3,133,179,149,1,3,1,0,6,23,188,243,0,22,161,271,4,16,39,163,231,1,250,113,0,332,0,329,0,329,0,339,0,334,4,340,1,135,233,1,171,196,1,217,150,1,210,157,0,118,247,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270790095,MONTGOMERY W-2,2,02,25A,01,00,394,00,00,N,O,Montgomery city,01,080,0095,40,270790095,907,90,686,20,0,706,1,Central Count,Model 115,1,18,303,8,375,0,0,0,0,274,348,54,0,0,0,238,453,0,0,0,0,67,282,336,0,0,0,6,179,279,225,1,2,0,0,12,36,253,378,0,26,199,444,1,16,65,218,370,2,400,165,0,525,1,521,0,521,0,524,2,526,3,527,0,234,326,0,299,255,0,385,176,0,402,151,1,232,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270790100,MONTGOMERY TWP.,,02,25A,01,00,392,00,00,N,O,Montgomery township,01,085,0100,40,270790100,409,43,347,5,0,352,1,Central Count,Model 115,2,9,179,0,158,0,1,0,0,157,151,28,0,0,0,136,212,0,0,0,0,56,167,116,0,0,1,8,101,153,78,0,2,0,1,5,20,163,144,0,15,132,186,0,10,36,139,138,1,164,83,0,228,1,231,1,228,0,236,0,232,1,234,0,86,169,0,101,151,0,155,97,0,135,116,0,79,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270790105,NEW PRAGUE,,02,25A,01,00,721,00,00,N,O,New Prague city (part),01,090,0105,40,270790105,805,138,657,19,0,676,1,Central Count,Model 115,0,8,365,2,300,1,0,0,0,336,276,38,0,0,0,354,303,0,0,0,0,41,422,206,0,0,1,8,138,329,193,0,3,0,0,16,31,336,275,0,22,268,365,3,14,48,278,299,0,403,135,1,499,1,498,0,496,1,504,1,504,0,500,2,221,308,0,313,216,0,381,147,0,391,138,1,199,336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270790110,OTTAWA TWP.,,02,25A,05,00,391,00,00,N,O,Ottawa township,01,095,0110,40,270790110,200,14,157,4,0,161,1,Central Count,Model 115,0,4,82,0,73,0,0,0,0,71,74,12,0,0,0,79,78,0,0,0,0,16,67,78,0,0,0,6,42,61,49,0,0,1,0,5,6,71,75,0,6,63,88,0,4,8,66,78,0,94,34,0,121,0,120,0,119,0,121,0,122,0,121,0,35,94,0,67,63,0,88,40,0,92,36,0,32,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270790115,SHARON TWP.,,02,25A,02,00,391,00,00,N,O,Sharon township,01,100,0115,40,270790115,408,25,333,7,0,340,1,Central Count,Model 115,3,16,181,0,138,0,1,0,0,166,137,26,0,0,0,179,155,0,0,0,0,62,158,114,0,0,1,11,128,147,51,0,1,0,0,12,27,169,120,0,22,137,169,1,10,34,155,126,0,185,68,0,229,0,226,0,231,0,238,0,242,1,242,0,108,149,0,134,130,1,179,74,0,202,57,0,114,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
